region,building_cluster,building_type,num_households_premises,num_shops_premises,type_waste_generator,waste_segregation,wet_waste_before_segregation,dry_waste_before_segregation,hazardous_waste,composting_type,compost_bin_by_mcgm,date_notice_issued,name_number,coll_date,category,num_wings,wing_name,population,compostable_waste,recyclable_waste,rejected_waste
OSHIWARA MAHADA NEW LINK ROAD,Income tax officers no.24,Res.,34,,MHADA,yes,0,8,0,Bin comp,05.10.2021,,,27/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Link Way no.25,Res.,34,,MHADA,yes,15,30,0,Bin comp,,,,27/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Central Excise Res.iety no.26,Res.,32,,MHADA,yes,30,18,0,,,,,27/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Central Excise Res.iety no.27,Res.,32,,MHADA,yes,35,15,0,,,,,27/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Harshvardhan chamber,,,,,no,0,0,0,,,,,27/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Oshiwara Police Chowki,Com,,,Others,no,0,0,0,,,,,27/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Matru Chayya,Res.,32,,MHADA,yes,5,5,2,Bin comp,,,,27/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Ekdant Society,Res.,34,,MHADA,yes,0,10,3,Bin comp,,,,27/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Parth no.43,Res.,32,,MHADA,yes,0,5,0,Bin comp,,,,27/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Fakir wadi (T.Camp),Res.,,,Others,yes,391,61,0,,,,,27/10/2021,,,,,,,
Behram  Baug,Shakti seva sangh,Res.,91,14,BWG/SRA,no,-,-,-,,-,,,01/10/2021,,,,,,,
Behram  Baug,Ujala Nagar SRA,Res.,116,21,After 2007 (BWG/SRA),no,-,-,-,,-,,,01/10/2021,,,,,,,
Behram  Baug,Patel SRA,Res.,,,,no,-,-,-,,,,,01/10/2021,,,,,,,
Behram  Baug,Sakirabi,Res.,114,16,After 2007 (BWG/SRA),no,-,-,-,,-,,,01/10/2021,,,,,,,
Behram  Baug,Parsi Colony,Res.,13x28,,Other,yes,180,40,0,,,,,01/10/2021,,,,,,,
Behram  Baug,Shama chs,Res.,,,,no,-,-,-,,,,,01/10/2021,,,,,,,
Behram  Baug,Anupa Public high scl,Scl,,,,,-,-,-,,,,,01/10/2021,,,,,,,
Behram  Baug,Sarvodhaya SRA,Res.,,,BWG,no,-,-,-,,,03/10/2021,,01/10/2021,,,,,,,
Behram  Baug,Range Heights,Com,,,After 2007 (BWG),no,-,-,-,,,,,01/10/2021,,,,,,,
Behram  Baug,Santosh Nagar SRA,Res.,,,BWG,no,-,-,-,,,28/09/2021,"Amersen Yadav
9867974333",01/10/2021,,,,,,,
Behram  Baug,Green palace,Res.,,,,no,-,-,-,,,,,01/10/2021,,,,,,,
ROSHAN NAGAR,Milliennium Court,Res.,80,1,BWG,yes,0,30,0,,,27/09/2021,"Nitinn Ranga
9821337126",01/10/2021,,,,,,,
ROSHAN NAGAR,Evershine Green,Res.,206,14,BWG,yes,40,0,5,,,18/09/2021,"Rohit Sharma (chr)
9819309474",01/10/2021,,,,,,,
ROSHAN NAGAR,"Raigad military school
Com-Bldg",Com,32,,,,-,-,-,,,,,01/10/2021,,,,,,,
ROSHAN NAGAR,Raigad military school,Scl,32,,,-,-,-,-,,,,,01/10/2021,,,,,,,
ROSHAN NAGAR,Mariyam public high school,Scl,,16,,,-,-,-,,,,,01/10/2021,,,,,,,
ROSHAN NAGAR,Belvedere spring school,Scl,,,,,-,-,-,,,,,01/10/2021,,,,,,,
ROSHAN NAGAR,Level resident,Res.,,,,,-,-,-,,,,,01/10/2021,,,,,,,
ROSHAN NAGAR,Oshiwara Akash ganga,Res.,28,,,yes,40,10,0,,,,,01/10/2021,,,,,,,
ROSHAN NAGAR,Oshwara Vishal,Res.,28,,,yes,30,10,0,,,,,01/10/2021,,,,,,,
ROSHAN NAGAR,Oshiwara Sahyadri,Res.,56,,,yes,50,5,0,,,,,01/10/2021,,,,,,,
ROSHAN NAGAR,Oshiwara Girnar,Res.,56,,,yes,70,15,0,,,,,01/10/2021,,,,,,,
ROSHAN NAGAR,Johig,Res.,28,,,yes,15,5,0,,,,,01/10/2021,,,,,,,
ROSHAN NAGAR,Oshiwara Ravikiran,Res.,28,,,yes,10,5,0,,,,,01/10/2021,,,,,,,
ROSHAN NAGAR,Oshiwara Satpuda,Res.,56,,,yes,50,0,0,,,,,01/10/2021,,,,,,,
ROSHAN NAGAR,Green daimond,Res.,40,,After 2007 (BWG),yes,30,25,0,,,27/09/2021,"Sameer Shaik(sup)
9920048273",01/10/2021,,,,,,,
ROSHAN NAGAR,Jogeshwari Ganesh niwas,Res.,80,,BWG/SRA,yes,80,12,0,,,27/09/2021,"Bhagwan Jadhav
9821800369",01/10/2021,,,,,,,
ROSHAN NAGAR,Roshan nagar B1,Res.,52,12,After 2007 (BWG/SRA),yes,35,0,0,,,27/09/2021,"Ashok Dongre
9833455170",01/10/2021,,,,,,,
ROSHAN NAGAR,Roshan nagar B2,Res.,82,13,After 2007 (BWG/SRA),yes,25,0,0,,,27/09/2021,"Alim Khan
8879313127",01/10/2021,,,,,,,
ROSHAN NAGAR,Lashkaria Empress,Res.,56,6,After 2007 (BWG/SRA),no,-,-,-,,,21/09/2021,"Sameer Shaik
9920048273",01/10/2021,,,,,,,
ROSHAN NAGAR,Oriental Education ,Clg,,,,,-,-,-,,,,,01/10/2021,,,,,,,
ROSHAN NAGAR,Green Heights (Lashkaria),Res.,,,BWG,no,-,-,-,,,21/09/2021,"Aslam Lashkaria
9820990707",01/10/2021,,,,,,,
ROSHAN NAGAR,Sree Sai lila (SRA),Res.,56,,BWG,,-,-,-,,,,,01/10/2021,,,,,,,
ROSHAN NAGAR,Shivspruthi Bldg no.1 ,Res.,,,BWG,yes,50,20,0,,,27/09/2021,"Vasant  Mahadik
7208580681",01/10/2021,,,,,,,
ROSHAN NAGAR,Shivspruthi Bldg no.2 ,Res.,88,,BWG /SRA,yes,90,30,0,,-,27/09/2021,"Vasant  Mahadik
7208580681",01/10/2021,,,,,,,
ANAND NAGAR,Techweb centre,Com,,,,yes,15,0,0,,,,,01/10/2021,,,,,,,
ANAND NAGAR,Daimond /Pearl,Res.,18,2,,no,0,0,0,,,,,01/10/2021,,,,,,,
ANAND NAGAR,Vijay Vishal,Res.,78,,BWG,yes,30,10,5,,,20/09/2021,"Chandrakant Kale
9969003025",01/10/2021,,,,,,,
ANAND NAGAR,Spice Tower,Com,,16,,,-,-,-,,out source,,,01/10/2021,,,,,,,
ANAND NAGAR,Sandipani Shikshak Oshiwara,Res.,91,28,After 2007 (BWG),no,-,-,-,,,20/09/2021,"Rammani C. Dube
9702334382",01/10/2021,,,,,,,
ANAND NAGAR,Vaibhav Palace,Res.,48,28,,no,0,0,0.5,,,,,01/10/2021,,,,,,,
MEGA MALL,Assistant Commissioner Police Oshiwara Division Mumbai,Com,,,,yes,0,10,0,,,,,01/10/2021,,,,,,,
MEGA MALL,Jay Ambe,Res.,100,,BWG,yes,90,10,0,,,28/09/2021,"Amar Pal
9920612050",01/10/2021,,,,,,,
MEGA MALL,Mahataranga,Res.,52,4,,yes,0,20,0,,,,,01/10/2021,,,,,,,
MEGA MALL,Sawati Apartment,Res.,28,7,,no,0,0,2,,,,,01/10/2021,,,,,,,
MEGA MALL,1 BHK,Com,,,,no,0,0,0,,,,,01/10/2021,,,,,,,
MEGA MALL,Meera Tower,Res.,100,28,BWG,,,,,,,18/09/2021,"A.K.Singh (Mang)
9930317315",01/10/2021,,,,,,,
GREEN PARK,East side no.28,Res.,32,,MHADA,yes,0,6,0,,24/09/2021,,,01/10/2021,,,,,,,
GREEN PARK,Samruddhi no.29,Res.,32,,MHADA,yes,35,7,0,,,,,01/10/2021,,,,,,,
GREEN PARK,Anand vihar,Res.,42,,MHADA,yes,0,12,0,,24/09/2021,,,01/10/2021,,,,,,,
GREEN PARK,Oshiwara Basera,Res.,28,,MHADA,yes,45,4,0,,,,,01/10/2021,,,,,,,
GREEN PARK,Park paradise,Res.,44,12,MHADA,yes,0,17,7,,25/09/2021,,,01/10/2021,,,,,,,
GREEN PARK,,,,,,,,,,,,,,01/10/2021,,,,,,,
TARAPORE,K.L Walawalkar MCGM garden,Grdn,,,,-,-,-,-,,,,,01/10/2021,,,,,,,
TARAPORE,Atlantis,Res.,22,,,,0,0,0,,,,,01/10/2021,,,,,,,
TARAPORE,Deep apartment,Res.,100,,BWG,,0,0,0,,,28/09/2021,Zuber Menon,01/10/2021,,,,,,,
TARAPORE,Arjanhans,Res.,,,,,0,0,0,,,,,01/10/2021,,,,,,,
TARAPORE,Kohinoor I,Res.,,,,,0,0,0,,,,,01/10/2021,,,,,,,
TARAPORE,Kohinoor II,Res.,,,,,0,0,0,,,,,01/10/2021,,,,,,,
TARAPORE,Shantivan Mhada (7 bldg),Res.,7x28,,MHADA,,200,30,0,,,,,01/10/2021,,,,,,,
TARAPORE,Rims International School ,Scl,,,,,-,-,-,,,,,01/10/2021,,,,,,,
TARAPORE,Samartha deep,Res.,160,,,,-,-,-,out source,,,,01/10/2021,,,,,,,
TARAPORE,Samartha ashish,Res.,74,,,,-,-,-,out source,,,,01/10/2021,,,,,,,
TARAPORE,Aakash,Res.,28,,MHADA,yes,0,13,0,,26/09/2021,,,01/10/2021,,,,,,,
TARAPORE,Eden garden no.22,Res.,32,,MHADA,yes,0,10,0,,24/09/2021,,,01/10/2021,,,,,,,
TARAPORE,Samartha Aangan,Res.,330,,After 2007 (BWG),yes,80,25,25,,,,,01/10/2021,,,,,,,
TARAPORE,Gulmohar,Res.,32,,MHADA,no,0,0,0,,,,,01/10/2021,,,,,,,
TARAPORE,Mayfair no.20,Res.,32,6,MHADA,yes,0,5,1,,23/09/2021,,,01/10/2021,,,,,,,
TARAPORE,Indra darshan l,Res.,264,,,,0,0,0,out source,,,,01/10/2021,,,,,,,
TARAPORE,Indra darshan ll,Res.,330,,,,0,0,0,out source,,,,01/10/2021,,,,,,,
TARAPORE,"Tarapore garden no. 1,2,3",Res.,294,,BWG,yes,60,0,26,,,18/09/2021,"Sanjeev Sharma
9920304152",01/10/2021,,,,,,,
TARAPORE,Tarapore tower,Res.,269,,BWG,,-,-,-,out source,,18/09/2021,"Arun poddar
9920720066",01/10/2021,,,,,,,
TARAPORE,Samartha vaibhav,Com,103,20,,yes,0,0,0,,,,,01/10/2021,,,,,,,
TARAPORE,,,,,,,,,,,,,,01/10/2021,,,,,,,
AZAD NAGAR PETROL PUMP,Tulip no.6,Res.,37,2,MHADA,yes,60,10,6,,,,,01/10/2021,,,,,,,
AZAD NAGAR PETROL PUMP,Aster no.5,Res.,34,,MHADA,no,0,0,0,,,,,01/10/2021,,,,,,,
AZAD NAGAR PETROL PUMP,Kasturi Res.iety,Res.,32,,,,-,-,-,,,,,01/10/2021,,,,,,,
JBCN SCHOOL LANE,Blue bell no.8,Res.,34,4,MHADA,yes,40,6,2,,,,,01/10/2021,,,,,,,
JBCN SCHOOL LANE,Avalon no7,Res.,30,,MHADA,yes,30,12,0,,,,,01/10/2021,,,,,,,
JBCN SCHOOL LANE,(JBCN) International school,Scl,,,,yes,0,0,0,,,,,01/10/2021,,,,,,,
JBCN SCHOOL LANE,Daffodils no.10,Res.,32,,MHADA,yes,70,30,0,,,,,01/10/2021,,,,,,,
JBCN SCHOOL LANE,Indus no.9,Res.,32,,MHADA,yes,78,23,3,,,,,01/10/2021,,,,,,,
OSHIWARA GARDEN,Maheshwari Hall,Com,,,,yes,0,20,0,,,,,01/10/2021,,,,,,,
OSHIWARA GARDEN,Suriyakiran no.19,Res.,32,6,MHADA,yes,15,8,1,,21/09/2021,,,01/10/2021,,,,,,,
OSHIWARA GARDEN,Amity no.18,Res.,32,,MHADA,yes,16,9,1,,19/09/2021,,,01/10/2021,,,,,,,
OSHIWARA GARDEN,Oshiwara Mhada Garden,Grdn,,,,yes,10,3,0,,20/09/2021,,,01/10/2021,,,,,,,
OSHIWARA GARDEN,Green view no.17,Res.,32,,MHADA,yes,20,7,2,,19/09/2021,,,01/10/2021,,,,,,,
OSHIWARA GARDEN,Hima sai no.16,Res.,32,,MHADA,yes,20,4,3,,20/09/2021,,,01/10/2021,,,,,,,
OSHIWARA GARDEN,Raja Rani Malhotra Vidyalaya,Scl,40,,,,0,0,0,,,,,01/10/2021,,,,,,,
OSHIWARA GARDEN,HVPS Education Complex,Clg,,,,,0,0,0,,,,,01/10/2021,,,,,,,
OSHIWARA GARDEN,Goenka International School,Scl,,22,,,0,0,0,,,,,01/10/2021,,,,,,,
OSHIWARA GARDEN,Marble School,Scl,,22,,,0,0,0,,,,,01/10/2021,,,,,,,
OSHIWARA GARDEN,Goverment of India Building,Res.,30,,,,-,-,-,,,,,01/10/2021,,,,,,,
OSHIWARA GARDEN,Sanskar no.15,Res.,28,,MHADA,yes,50,11,0,,-,-,-,01/10/2021,,,,,,,
,,,,,,,,,,,,,,01/10/2021,,,,,,,
,BMC ROAD,,,,,,,,,,,,,01/10/2021,,,,,,,
BMC ROAD,Aradhana SRA,Res.,,,,no,440,0,0,,-,-,-,01/10/2021,,,,,,,
BMC ROAD,Annapoorna Chs,Res.,286,25,,yes,70,0,0,,-,-,-,01/10/2021,,,,,,,
BMC ROAD,Godavari no1,Res.,40,,MHADA,yes,60,10,0,,02/10/2021,,,01/10/2021,,,,,,,
BMC ROAD,Krishna no 2,Res.,40,,MHADA,yes,39,20,0,,02/10/2021,,,01/10/2021,,,,,,,
BMC ROAD,Narmadha no 3,Res.,40,,MHADA,yes,,,0,,02/10/2021,,,01/10/2021,,,,,,,
BMC ROAD,Kaveri no 4,Res.,40,,MHADA,yes,,,0,,02/10/2021,,,01/10/2021,,,,,,,
BMC ROAD,Panchvati no 5,Res.,40,,MHADA,yes,,,0,,02/10/2021,,,01/10/2021,,,,,,,
BMC ROAD,Saptha Shrungi no 6,Res.,40,,MHADA,yes,5,5,3,,,,,01/10/2021,,,,,,,
BMC ROAD,Sai Siddhii no 7,Res.,40,,MHADA,yes,17,3,0,,,,,01/10/2021,,,,,,,
BMC ROAD,Serenity Shree sai wings ADEF Chs,Res.,140,,BWG,yes,50,10,0,,,18/09/2021,"Nandkishore Ghag
9821394023",01/10/2021,,,,,,,
BMC ROAD,"Serenity Shree sai wings B1,B2 Chs",Res.,,,BWG,yes,,54,6.2,,,18/09/2021,"Vare (Mang)
9699720927",01/10/2021,,,,,,,
BMC ROAD,Serenity Shree sai wings GHI chs,Res.,,,BWG,yes,,30,0,,,18/09/2021,"Suryanarayan Chube 
9702021707",01/10/2021,,,,,,,
BMC ROAD,City International School,Scl,,,,yes,0,0,0,,,,,01/10/2021,,,,,,,
HEERA PANNA ROAD,Jay Ambe,Res.,,,,,50,-,-,,,,,01/10/2021,,,,,,,
HEERA PANNA ROAD,Sumukh Heights,Res.,42,,,yes,0,20,0,,,,,01/10/2021,,,,,,,
HEERA PANNA ROAD,Sai Leela(SRA),Res.,,,,,-,-,-,,,,,01/10/2021,,,,,,,
HEERA PANNA ROAD,Aanand Seva Samity,Res.,102,11,BWG /SRA,yes,44,15,0,,,27/09/2021,"Mansoor Ali Khan
9022887279",01/10/2021,,,,,,,
HEERA PANNA ROAD,Reliable Business Centre,Com,,11,After 2007 (BWG/SRA),yes,0,10,0,,,27/09/2021,"Shakeel Shaik
9821326518",01/10/2021,,,,,,,
HEERA PANNA ROAD,Om Heera Panna Premises,Com,,290,BWG,yes,0,10,0,,27/09/2021,27/09/2021,"Kisanlal Hans
9892408602",01/10/2021,,,,,,,
HEERA PANNA ROAD,Oshiwara Link Plaza,Com,,199,,yes,0,15,0,,,,,01/10/2021,,,,,,,
HEERA PANNA ROAD,Oshiwara Yashodeep ,Res.,60,,BWG /SRA,yes,40,35,0,,,18/09/2021,"Ishwar  Hubale
9870473923",01/10/2021,,,,,,,
HEERA PANNA ROAD,(SBI) Officers Quatres 35,Res.,90,,MHADA,yes,10,3,1,,,,,01/10/2021,,,,,,,
HEERA PANNA ROAD,Godavari ,,,,MHADA,yes,30,11,0,,,,,01/10/2021,,,,,,,
HEERA PANNA ROAD,Yamuna 38,Res.,55,12,MHADA,yes,25,2,0,,,,,01/10/2021,,,,,,,
HEERA PANNA ROAD,Kaveri no41,Res.,,,MHADA,yes,35,0,0,,,,,01/10/2021,,,,,,,
HEERA PANNA ROAD,Mhada Sargam no40,Res.,88,4,MHADA,yes,-,-,-,,,,,01/10/2021,,,,,,,
HEERA PANNA ROAD,Sebi Gurur,Res.,30,,,,-,-,-,,,,,01/10/2021,,,,,,,
HEERA PANNA ROAD,Gujarat Bhavan,Res.,28,,,yes,50,0,0,,,,,01/10/2021,,,,,,,
HEERA PANNA ROAD,Tata Communication Residential Colony,Res.,105,,MHADA,yes,30,0,0,,,,,01/10/2021,,,,,,,
HEERA PANNA ROAD,Andhra Bank Quartres,Res.,62,,MHADA,yes,75,0,0,,,,,01/10/2021,,,,,,,
HEERA PANNA ROAD,BMC Garden I,Grdn,,,,yes,20,0,0,,,,,01/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Marigold no. 1,Res.,34,,MHADA,no,25,0,0,,,,,01/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Anuksa no.2,Res.,34,,MHADA,no,40,0,0,,,,,01/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Aroma no.3,Res.,34,,MHADA,no,0,0,0,,,,,01/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Sunshine no.4,Res.,34,,MHADA,no,0,0,0,,,,,01/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Starship no.11,Res.,28,,MHADA,yes,15,4,0,,23/09/2021,,,01/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Lotus no.12,Res.,32,,MHADA,yes,20,6,0,,23/09/2021,,,01/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Utsav no.13,Res.,32,,MHADA,yes,60,0,3,,,,,01/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Rajanigandha no.14,Res.,32,,MHADA,yes,0,10,3,,20/09/2021,,,01/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Income tax officers no.24,Res.,34,,MHADA,yes,50,8,0,,,,,01/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Link Way no.25,Res.,34,,MHADA,yes,30,11,0,,,,,01/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Central Excise Res.iety no.26,Res.,32,,MHADA,yes,40,14,0,,,,,01/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Central Excise Res.iety no.27,Res.,32,,MHADA,yes,50,19,0,,,,,01/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Oshiwara Police Chowki,Com,,,,yes,0,30,0,,,,,01/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,State Bank India ,Com,,1,,,-,-,-,,,,,01/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Matru Chayya,Res.,32,,MHADA,no,0,0,0,,,,,01/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Ekdant Res.iety,Res.,34,,MHADA,yes,0,0,0,,,,,01/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Parth no.43,Res.,32,,MHADA,yes,30,0,0,,,,,01/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Fakir wadi (T.Camp),Res.,,,,yes,273,50,0,,,,,01/10/2021,,,,,,,
ROSHAN NAGAR,Parsi Colony,Res.,13x28,,,yes,145,81,10,,,,,02/10/2021,,,,,,,
ROSHAN NAGAR,Lashkariya pearl,Res.,,,,no,0,0,0,,,,,02/10/2021,,,,,,,
ROSHAN NAGAR,Sakirabi,Res.,114,16,After 2007 (BWG/SRA),no,0,0,0,,,,,02/10/2021,,,,,,,
ROSHAN NAGAR,Anupamma,Res.,,,,no,0,0,0,,,,,02/10/2021,,,,,,,
ROSHAN NAGAR,Patel SRA,Res.,,,,no,0,0,0,,,,,02/10/2021,,,,,,,
ROSHAN NAGAR,Ujala Nagar SRA,Res.,116,21,After 2007 (BWG/SRA),no,0,0,0,,,,,02/10/2021,,,,,,,
ROSHAN NAGAR,Shakti seva sangh,Res.,91,14,BWG/SRA,no,0,0,0,,,,,02/10/2021,,,,,,,
ROSHAN NAGAR,Shama chs,Res.,,,,yes,0,37,0,,,,,02/10/2021,,,,,,,
ROSHAN NAGAR,Sarvodhaya SRA,Res.,,,,no,0,0,0,,,,,02/10/2021,,,,,,,
ROSHAN NAGAR,Santhosh Nagar SRA,Res.,,,,no,0,0,0,,,28/09/2021,"Amersen Yadav
9867974333",02/10/2021,,,,,,,
ROSHAN NAGAR,Green palace,Res.,,,,no,0,0,0,,,,,02/10/2021,,,,,,,
ROSHAN NAGAR,Range Heights,Com,,,After 2007 (BWG),Yes,-,10,-,,,,,02/10/2021,,,,,,,
ROSHAN NAGAR,Evershine Green,Res.,206,14,BWG,-Yes,-,-,,Out source,,18/09/2021,"Rohit Sharma (chr)
9819309474",02/10/2021,,,,,,,
ROSHAN NAGAR,"Raigad military school
Com-Bldg",Com,32,,BWG,,-,-,-,,,,,02/10/2021,,,,,,,
ROSHAN NAGAR,Raigad military school,Scl,32,,,,-,-,-,,,,,02/10/2021,,,,,,,
ROSHAN NAGAR,Mariyam public high school,Scl,,16,,,-,-,-,,,,,02/10/2021,,,,,,,
ROSHAN NAGAR,Belvedere spring school,Scl,,,,,-,-,-,,,,,02/10/2021,,,,,,,
ROSHAN NAGAR,Level resident,Res.,,,,,-,-,-,,,,,02/10/2021,,,,,,,
ROSHAN NAGAR,Oshiwara Akash ganga,Res.,28,,,Yes,40,10,1,,,,,02/10/2021,,,,,,,
ROSHAN NAGAR,Oshwara Vishal,Res.,28,,,Yes,30,15,0,,,,,02/10/2021,,,,,,,
ROSHAN NAGAR,Oshiwara Sahyadri,Res.,56,,,Yes,50,20,1,,,,,02/10/2021,,,,,,,
ROSHAN NAGAR,Oshiwara Girnar,Res.,56,,,Yes,70,15,0,,,,,02/10/2021,,,,,,,
ROSHAN NAGAR,Johig,Res.,28,,,Yes,15,10,0,,,,,02/10/2021,,,,,,,
ROSHAN NAGAR,Oshiwara Ravikiran,Res.,28,,,Yes,10,8,3,,,,,02/10/2021,,,,,,,
ROSHAN NAGAR,Oshiwara Satpuda,Res.,56,,,Yes,50,8,0,,,,,02/10/2021,,,,,,,
ROSHAN NAGAR,Green daimond,Res.,40,,After 2007 (BWG),Yes,30,15,7,,,27/09/2021,"Sameer Shaik(sup)
9920048273",02/10/2021,,,,,,,
ROSHAN NAGAR,Jogeshwari Ganesh niwas,Res.,80,,BWG/SRA,Yes,80,10,0,,,27/09/2021,"Bhagwan Jadhav
9821800369",02/10/2021,,,,,,,
ROSHAN NAGAR,Roshan nagar B1,Res.,52,12,After 2007 (BWG/SRA),Yes,35,30,4,,,27/09/2021,"Ashok Dongre
9833455170",02/10/2021,,,,,,,
ROSHAN NAGAR,Roshan nagar B2,Res.,82,13,After 2007 (BWG/SRA),Yes,25,41,2,,,27/09/2021,"Alim Khan
8879313127",02/10/2021,,,,,,,
ROSHAN NAGAR,Lashkaria Empress,Res.,56,6,After 2007 (BWG/SRA),,-,-,-,Out source,,21/09/2021,"Sameer Shaik
9920048273",02/10/2021,,,,,,,
ROSHAN NAGAR,Lashkariya Green Heights,,,,BWG,no,0,0,0,,,21/09/2021,"Aslam Lashkaria
9820990707",02/10/2021,,,,,,,
ROSHAN NAGAR,Sree Sai lila (SRA),Res.,56,,,Yes,23,26,0,,,,,02/10/2021,,,,,,,
ROSHAN NAGAR,Shiv spruti,Res.,88,,BWG /SRA,Yes,69,15,0,,,27/09/2021,"Vasant  Mahadik
7208580681",02/10/2021,,,,,,,
ROSHAN NAGAR,Milliennium Court,Res.,80,1,BWG,Yes,12,30,0,,,27/09/2021,"Nitinn Ranga
9821337126",02/10/2021,,,,,,,
ANAND NAGAR,Techweb centre,,,,,Yes,0,76,0,,,,,02/10/2021,,,,,,,
ANAND NAGAR,Daimond /Pearl,Res.,18,2,,No,0,5,0,,,,,02/10/2021,,,,,,,
ANAND NAGAR,Vijay Vishal,Res.,78,,BWG,Yes,0,25,9,,,20/09/2021,"Chandrakant Kale
9969003025",02/10/2021,,,,,,,
ANAND NAGAR,Spice Tower,,,16,,,-,-,-,Out source,,,,02/10/2021,,,,,,,
ANAND NAGAR,Sandipani Shikshak Oshiwara,Res.,91,28,After 2007 (BWG),Yes,12,15,0,,,20/09/2021,"Rammani C. Dube
9702334382",02/10/2021,,,,,,,
ANAND NAGAR,Vaibhav Palace,Res.,48,28,,Yes,0,20,0,,,,,02/10/2021,,,,,,,
MEGA MALL,Assistant Commissioner Police Oshiwara Division Mumbai,Com,,,,no,0,0,0,,,,,02/10/2021,,,,,,,
MEGA MALL,Meera Tower,Res.,100,28,BWG,,-,-,-,out source,,18/09/2021,"A.K.Singh (Mang)
9930317315",02/10/2021,,,,,,,
MEGA MALL,1BHK Hotel,Com,,,,no,-,-,-,,,,,02/10/2021,,,,,,,
MEGA MALL,Facing east,Com,,,,no,-,-,-,,,,,02/10/2021,,,,,,,
MEGA MALL,Mahataranga,Res.,52,4,,,-,-,-,,,,,02/10/2021,,,,,,,
MEGA MALL,Sawati Apartment,Res.,28,7,,Yes,0,8,0,,,,,02/10/2021,,,,,,,
MEGA MALL,Jay Ambe,Res.,100,,BWG,Yes,0,80,0,,,28/09/2021,"Amar Pal
9920612050",02/10/2021,,,,,,,
GREEN PARK,East side no.28,Res.,32,,,yes,0,5,1,comp bin,24/09/2021,,,02/10/2021,,,,,,,
GREEN PARK,Samruddhi no.29,Res.,32,,,yes,35,9,0,comp bin,,,,02/10/2021,,,,,,,
GREEN PARK,Anand vihar,Res.,42,,,yes,0,12,0,comp bin,24/09/2021,,,02/10/2021,,,,,,,
GREEN PARK,Oshiwara Basera,Res.,28,,,yes,45,4,2,comp bin,,,,02/10/2021,,,,,,,
GREEN PARK,Park paradise,Res.,44,12,,yes,0,9,7,comp bin,25/09/2021,,,02/10/2021,,,,,,,
TARAPORE,The park (Lotus),Res.,42,,,,-,-,-,-,-,-,,02/10/2021,,,,,,,
TARAPORE,K.L Walawalkar m.c.g.m garden,Grdn,,,,yes,0,0,0,,,,,02/10/2021,,,,,,,
TARAPORE,Atlantis,Res.,22,,,yes,12,0,0,,,,,02/10/2021,,,,,,,
TARAPORE,Deep apartment,Res.,100,,BWG,yes,90,35,0,,,28/09/2021,Zuber Menon,02/10/2021,,,,,,,
TARAPORE,Arjanhans,Res.,,,,yes,0,0,0,,,,,02/10/2021,,,,,,,
TARAPORE,Kohinoor,Res.,,,,yes,0,14,0,,,,,02/10/2021,,,,,,,
TARAPORE,Shantivan Mhada (7 bldg),Res.,7x28,,,yes,160,20,7,,,,,02/10/2021,,,,,,,
TARAPORE,Rims International School College,Scl,,,,,-,-,-,,,,,02/10/2021,,,,,,,
TARAPORE,Samartha deep,Res.,160,,,,-,-,-,Out source,,,,02/10/2021,,,,,,,
TARAPORE,Samartha ashish,Res.,74,,,yes,39,12,0,,,,,02/10/2021,,,,,,,
TARAPORE,Aakash,Res.,28,,,yes,12,6,0,,,,,02/10/2021,,,,,,,
TARAPORE,Oshiwara Eden garden,Grdn,32,,,yes,11,7,0,,,,,02/10/2021,,,,,,,
